City,Continent,Class,Skewness,Dip_Statistic,Mean_Height
Allentown,NORTH AMERICA,Pyramid,2.727651106,0.181490066,1.017864282
Alliance,NORTH AMERICA,Pyramid,1.23328369,0.987077206,1.013122867
Almaty,ASIA,Hourglass,1.62039552,0,2.734199281
Almenara,SOUTH AMERICA,Hourglass,0.960635068,0,1.155099304
Almeria,EUROPE,Pyramid,0.912819414,0.242004165,2.236634717
Almetyevsk,EUROPE,Pyramid,1.100884273,0.095813977,1.559570765
Almirante,SOUTH AMERICA,Pyramid,1.631200387,0.518257246,0.534614927
Alor Setar,ASIA,Pyramid,3.646766523,0.047461989,0.453324595
Alotau,AUSTRALIA,Pyramid,1.820068999,0.987947076,0.776642936
Alpena,NORTH AMERICA,Pyramid,2.159616486,0.99909778,0.838955023
Alpine,NORTH AMERICA,Pyramid,0.602271003,0.596394125,1.089518306
Alta Gracia,SOUTH AMERICA,Hourglass,-0.018565489,0,1.956699861
Altagracia de Orituco,SOUTH AMERICA,Hourglass,0.563311999,0,1.385280001
Altamira,SOUTH AMERICA,Hourglass,0.052748535,0,1.577264466
Altay,ASIA,Pyramid,1.280249585,0.99700614,1.393725445
Alton,NORTH AMERICA,Pyramid,3.58586548,0.972504591,0.932727601
Altoona,NORTH AMERICA,Pyramid,2.288368667,0.998672435,1.189845
Alvorada,SOUTH AMERICA,Hourglass,-0.069067166,0,1.437211933
Alwar,ASIA,Hourglass,5.661627513,0,0.176512087
Alxa Zuoqi,ASIA,Pyramid,1.020803008,0.943666341,3.428445074
Am Timan,AFRICA,Pyramid,1.307620535,0.807693613,0.727054128
Amahai,AUSTRALIA,Pyramid,3.881282587,1,0.134293717
Amapa,SOUTH AMERICA,Pyramid,1.480530058,0.990541389,0.149828469
Amarillo,NORTH AMERICA,Hourglass,1.460361557,0,1.452604569
Amasya,ASIA,Pyramid,0.992909731,0.578631097,1.344344127
Ambala,ASIA,Hourglass,5.181209555,0,0.17219853
Ambanja,AFRICA,Hourglass,1.421934404,7.09E-05,1.432314688
Ambato,SOUTH AMERICA,Pyramid,1.683257048,0.816337956,1.07489716
Ambatondrazaka,AFRICA,Pyramid,1.341633619,0.991647837,1.16031378
Ambon,AUSTRALIA,Pyramid,1.154596126,0.593651523,1.808742053
Amderma,EUROPE,Hourglass,0.090605828,0.000419897,0.277381947
Americana,SOUTH AMERICA,Hourglass,1.282662757,0,1.13962305
Ames,NORTH AMERICA,Pyramid,2.54943396,0.993427849,1.209318807
Amherst,NORTH AMERICA,Pyramid,1.189232905,0.997776393,0.337193973
Amiens,EUROPE,Pyramid,2.339229112,0.991705526,1.151446482
Amman,ASIA,Hourglass,0.585386033,0,2.664988797
Ammochostos,ASIA,Pyramid,1.568667517,0.99339956,1.15083403
Amol,ASIA,Hourglass,0.867625835,0,1.169419469
Amos,NORTH AMERICA,Pyramid,2.447002183,0.759745754,0.767577193
Amravati,ASIA,Hourglass,1.489531799,0,0.864883705
Amritsar,ASIA,Hourglass,4.998852653,0,0.249564353
Amsterdam,EUROPE,Pyramid,1.554336592,0.595720621,1.76719731
Amursk,ASIA,Pyramid,1.396307868,1,1.183052792
An Najaf,ASIA,Hourglass,0.578865429,0,1.729278104
An Nasiriyah,ASIA,Hourglass,0.244281474,0,1.795881871
Anaco,SOUTH AMERICA,Hourglass,0.244117273,0,1.54546952
Anapolis,SOUTH AMERICA,Hourglass,0.366813053,0,2.035676108
Anatuya,SOUTH AMERICA,Hourglass,0.054314358,0,1.366170218
Anbyon,ASIA,Pyramid,3.579507197,0.997632751,0.261960128
Anchorage,NORTH AMERICA,Pyramid,2.87257809,0.488697052,0.910580883
Ancona,EUROPE,Pyramid,1.998903898,0.990331406,1.308416448
Ancud,SOUTH AMERICA,Hourglass,0.97725944,0.000760735,1.213331593
Anda,ASIA,Pyramid,1.846417298,0.955088987,1.92382361
Anderson,NORTH AMERICA,Pyramid,2.464024251,1,0.750321144
Andijon,ASIA,Hourglass,0.860667949,0,1.286039329
Andkhvoy,ASIA,Hourglass,1.041869848,0,0.548455579
Andoany,AFRICA,Pyramid,1.58607209,0.727371138,1.206654652
Andong,ASIA,Pyramid,1.826716583,0.980478165,1.679299809
Andorra,EUROPE,Pyramid,4.84716742,1,0.282593104
Andradina,SOUTH AMERICA,Hourglass,0.598190896,0,1.395497797
Androka,AFRICA,Unknown,0,1,0
Angangxi,ASIA,Pyramid,2.727855344,1,1.141793183
Angarsk,ASIA,Pyramid,2.567490494,0.649142576,1.172997249
Angeles,ASIA,Hourglass,3.413095461,0,0.367847019
Angers,EUROPE,Pyramid,1.735591178,0.297069058,1.358338681
Angoche,AFRICA,Pyramid,2.998337272,1,0.348985609
Angol,SOUTH AMERICA,Hourglass,0.489615696,0,1.382930437
